year,journal,count
2024,Advanced Information Systems Engineering Workshops,1
2024,Ophthalmology and Therapy,1
2024,Journal of Translational Medicine,1
2024,From Emerging Technologies to Business Opportunities,1
2024,Understanding Artificial Intelligence,1
2024,Systems Thinking for Sustainability Education in Business Schools,1
2024,Advances in Computational Mathematics,1
2024,Drug Discovery and Evaluation: Safety and Pharmacokinetic Assays,1
2024,BMC Complementary Medicine and Therapies,1
2025,Education and Information Technologies,162
2025,Scientific Reports,74
2025,AI & SOCIETY,57
2025,BMC Medical Education,52
2025,Humanities and Social Sciences Communications,46
2025,npj Digital Medicine,45
2025,AI and Ethics,42
2025,unknown,37
2025,Discover Artificial Intelligence,32
2025,TechTrends,28
2025,Discover Education,28
2025,Educational technology research and development,26
2025,International Journal of Educational Technology in Higher Education,25
2025,Journal of Science Education and Technology,24
2025,"Technology, Knowledge and Learning",22
2025,Journal of Academic Ethics,20
2025,Current Psychology,19
2025,"Artificial Intelligence in Education. Posters and Late Breaking Results, Workshops and Tutorials, Industry and Innovation Tracks, Practitioners, Doctoral Consortium, Blue Sky, and WideAIED",17
2025,Frontiers of Digital Education,16
2025,Artificial Intelligence in Education,16
2025,Philosophy & Technology,15
2025,BMC Nursing,14
2025,Archives of Computational Methods in Engineering,14
2025,Artificial Intelligence Review,14
2025,International Journal of Artificial Intelligence in Education,13
2025,Proceedings of TEEM 2024,13
2025,Smart Learning Environments,12
2025,Generative AI in Creative Industries,11
2025,npj Science of Learning,10
2025,Discover Computing,10
2025,Discover Applied Sciences,10
2025,The Second International Symposium on Generative AI and Education (ISGAIE’2025),10
2025,Nature Communications,10
2025,Design Thinking,10
2025,Medical Science Educator,9
2025,Discover Sustainability,9
2025,SN Computer Science,9
2025,"Technology and Innovation in Learning, Teaching and Education",9
2025,Current Reviews in Musculoskeletal Medicine,9
2025,BMC Psychology,9
2025,"AI, Brain and Child",8
2025,International Journal for Educational Integrity,8
2025,Postdigital Science and Education,8
2025,Information Systems Frontiers,8
2025,International Journal of Technology and Design Education,8
2025,Creative Mathematical Sciences Communication,8
2025,Synthese,8
2025,Nature Medicine,8
2025,Artificial Intelligence in Ophthalmology,8
2025,BMC Oral Health,7
2025,Journal of Imaging Informatics in Medicine,7
2025,Journal of Computers in Education,7
2025,The Palgrave Encyclopedia of Computer-Assisted Language Learning,7
2025,SN Social Sciences,7
2025,"New Media Pedagogy: Research Trends, Methodological Challenges, and Successful Implementations",7
2025,Futureproofing Engineering Education for Global Responsibility,7
2025,Nature,7
2025,BMC Medical Ethics,7
2025,Computer Science and Educational Informatization,7
2025,Nature Machine Intelligence,7
2025,"Digital Health, AI and Generative AI in Healthcare",7
2025,Proceedings of Tenth International Congress on Information and Communication Technology,7
2025,Science China Information Sciences,7
2025,Current Treatment Options in Psychiatry,7
2025,International Journal of STEM Education,6
2025,"Proceedings of the International Scientific Conference Digital Future: Science, Education, and Innovative Development of Socio-Economic Systems",6
2025,Artificial Intelligence in Education Technologies: New Development and Innovative Practices,6
2025,Business & Information Systems Engineering,6
2025,Journal of Medical Systems,6
2025,Journal of Computing in Higher Education,6
2025,Communications Psychology,6
2025,Design Computing and Cognition’24,6
2025,Where is the Mathematics in Your Math Education Research?,6
2025,The Paradigm Shift from a Linear Economy to a Smart Circular Economy,6
2025,Journal of the Academy of Marketing Science,6
2025,Lecture Notes in Business Information Processing,6
2025,Advances in Therapy,6
2025,Journal of Umm Al-Qura University for Engineering and Architecture,6
2025,Current Nutrition Reports,6
2025,Digital Society,5
2025,Global Surgical Education - Journal of the Association for Surgical Education,5
2025,British Dental Journal,5
2025,Journal of Computational Social Science,5
2025,Higher Education Learning Methodologies and Technologies Online,5
2025,Artificial Intelligence in Microbial Research,5
2025,Digitally Transformed Education: Are We There Yet?,5
2025,Work Integrated Learning-Directions for the Future,5
2025,"Design, User Experience, and Usability",5
2025,npj Health Systems,5
2025,Computational Science and Computational Intelligence,5
2025,npj Artificial Intelligence,5
2025,Scientometrics,5
2025,Surgical Endoscopy,5
2025,Asia Pacific Education Review,5
2025,Thinking Swarms,5
2025,"Critical Thinking Across Disciplines, Vol. 1",5
2025,Journal of Maritime Archaeology,5
2025,Interplay of Artificial General Intelligence with Quantum Computing,5
2025,"The Proceedings of 2024 International Conference of Electrical, Electronic and Networked Energy Systems",5
2025,Management Review Quarterly,5
2025,The AI Revolution,5
2025,Financial Innovation,5
2025,Pflügers Archiv - European Journal of Physiology,5
2025,Biomedical Materials & Devices,5
2025,Information Access in the Era of Generative AI,5
2025,Lecture Notes in Computer Science,5
2025,Neuro-Symbolic Artificial Intelligence,5
2025,International Journal of Science and Mathematics Education,4
2025,Science & Education,4
2025,Artificial Intelligence in Vocational Education and Training,4
2025,Software Engineering: Emerging Trends and Practices in System Development,4
2025,HCI International 2025 Posters,4
2025,A Practical Guide to Artificial Intelligence in Higher Education: Innovation and Applications,4
2025,Human-Computer Creativity,4
2025,Human-Computer Interaction,4
2025,Learning and Collaboration Technologies,4
2025,Big Data and Artificial Intelligence for Decision-Making in the Smart Economy,4
2025,The Mind of Everyday,4
2025,International Communication of Chinese Culture,4
2025,Egyptian Journal of Forensic Sciences,4
2025,International Journal for the Semiotics of Law - Revue internationale de Sémiotique juridique,4
2025,Journal of Formative Design in Learning,4
2025,Proceedings of International Conference on Recent Innovations in Computing,4
2025,"Proceedings of the International Conference on Technology 4 Education 2024, Volume 1",4
2025,Interactive Storytelling,4
2025,Integrating Emerging Technologies into Education and Training: Proceedings of the 2nd ETELT 2024 Workshop,4
2025,Informatics in Schools. Innovative Approaches to Computer Science Teaching and Learning,4
2025,Thinking Skills in Higher Education,4
2025,Unifying Systems,4
2025,Frontiers of Engineering Management,4
2025,The Visual Computer,4
2025,Eye,4
2025,Journal of Cheminformatics,4
2025,The Review of Austrian Economics,4
2025,Generative Artificial Intelligence (AI) Approaches for Industrial Applications,4
2025,"BMC Sports Science, Medicine and Rehabilitation",4
2025,Research in Science Education,4
2025,BMC Medicine,4
2025,Aesthetic Plastic Surgery,4
2025,Nano-Micro Letters,4
2025,Nature Reviews Biodiversity,4
2025,Intelligent Systems and Applications,4
2025,NanoEthics,4
2025,Cluster Computing,4
2025,AI on the Edge with Security,4
2025,Journal of Intelligent Manufacturing,4
2025,The Journal of Technology Transfer,4
2025,Time Series Forecasting Using Generative AI,4
2025,Infectious Diseases of Poverty,4
2025,Building Generative AI Agents,4
2025,Neurosurgical Review,4
2025,Security Journal,4
2025,Future Business Journal,3
2025,International Journal of Early Childhood,3
2025,Advances in Simulation,3
2025,GeoAI and Human Geography,3
2025,Proceedings of the International Conference on Smart Cities - Volume 2,3
2025,ICT Analysis and Applications,3
2025,Using and Understanding AI in Higher Education,3
2025,The Power of Agentic AI: Redefining Human Life and Decision-Making,3
2025,Knowledge Management in Organisations,3
2025,New Paradigm in Digital Classroom and Smart Learning,3
2025,XR and Metaverse,3
2025,Blended Learning. Sustainable and Flexible Smart Learning,3
2025,AI in Education and Educational Research,3
2025,Proceedings of Data Analytics and Management,3
2025,Communication and Change,3
2025,Architectural Intelligence,3
2025,Current Epidemiology Reports,3
2025,Artificial Intelligence and Human Agency in Education: Volume Two,3
2025,The Asia-Pacific Education Researcher,3
2025,Biomedical Engineering Education,3
2025,Computational Urban Science,3
2025,Augmented Cognition,3
2025,Current Urology Reports,3
2025,Journal of New Approaches in Educational Research,3
2025,Multimodal Generative AI,3
2025,Sustainable Artificial Intelligence-Powered Applications,3
2025,Proceedings of Fourth International Conference on Computing and Communication Networks,3
2025,International Symposium for Intelligent Transportation and Smart City (ITASC) 2025 Proceedings,3
2025,Aviation Innovation,3
2025,Artificial Intelligence in HCI,3
2025,Structural and Technological Transformation of Education in the Post-Pandemic Period,3
2025,"Handbook of Visual, Experimental and Computational Mathematics",3
2025,New Technology in Education and Training,3
2025,Arabian Journal for Science and Engineering,3
2025,European Archives of Paediatric Dentistry,3
2025,Reading and Writing,3
2025,npj Climate Action,3
2025,Challenges and Opportunities in the Artificial Intelligence Era,3
2025,Tech Fusion in Business and Society,3
2025,"Generative AI: Techniques, Models and Applications",3
2025,Natural Language Processing,3
2025,Rechtsmedizin,3
2025,Mathematical Tools for Telemedicine,3
2025,Process Science,3
2025,Frontier Computing: Volume 4,3
2025,Communications Physics,3
2025,Videogame Sciences and Arts,3
2025,Monash Bioethics Review,3
2025,Computational Intelligence Applied to Decision-Making in Uncertain Environments,3
2025,Viroinformatics and Computational Virology in Public Health,3
2025,npj Biological Physics and Mechanics,3
2025,npj Biomedical Innovations,3
2025,Artificial Intelligence and Digital Transformation,3
2025,Artificial Intelligence in Sales,3
2025,Current Oncology Reports,3
2025,Proceedings of the Third International Conference on Advances in Computing Research (ACR’25),3
2025,Medical & Biological Engineering & Computing,3
2025,LISS 2024,3
2025,Innovating Education with AI,3
2025,Psychiatric Quarterly,3
2025,Artificial Intelligence Security and Safety,3
2025,npj Biosensing,3
2025,Advances in Computing and Data Sciences,3
2025,Multimedia Tools and Applications,3
2025,International Journal of Precision Engineering and Manufacturing,3
2025,Explainable and Customizable Job Sequencing and Scheduling,3
2025,Environmental Sciences Europe,3
2025,Applied Artificial Intelligence in Business,3
2025,NPP—Digital Psychiatry and Neuroscience,3
2025,BMC Artificial Intelligence,3
2025,Building Simulation,3
2025,Data-Centric Business and Applications,3
2025,Journal of Pharmaceutical Innovation,3
2025,Atlas of Emergency Imaging from Head-to-Toe,3
2025,Discover Public Health,3
2025,International Journal of Information Technology,3
2025,Pedagogical Love in Adult Education,3
2025,Theoretical and Applied Genetics,3
2025,Soft Computing,3
2025,Waste Disposal & Sustainable Energy,3
2025,International Journal of System Assurance Engineering and Management,2
2025,Local Solutions for Global Challenges,2
2025,Artificial Intelligence and Human Agency in Education: Volume One,2
2025,"New Technologies, Development and Application VIII",2
2025,Information Systems,2
2025,Advances in Data-driven Computing and Intelligent Systems,2
2025,Bridging Art and Design with Technology,2
2025,Insights into Imaging,2
2025,"Advanced Research in Technologies, Information, Innovation and Sustainability",2
2025,Intelligent Technology for Educational Applications,2
2025,AI in the Middle East for Growth and Business,2
2025,Agents and Multi-agent Systems: Technologies and Applications 2024,2
2025,Tech Transformation and AI Readiness,2
2025,International Journal of Clinical Pharmacy,2
2025,Fifth International Conference on Computing and Network Communications,2
2025,Journal of Management Control,2
2025,Indian Pediatrics,2
2025,AI and IoT: Driving Business Success and Sustainability in the Digital Age,2
2025,"Sustainability, AI and Innovation: Proceedings of the Applied Research in Humanities & Social Sciences (ARHSS 2023)",2
2025,Educational Psychology Review,2
2025,Foundations of Computer Science and Frontiers in Education: Computer Science and Computer Engineering,2
2025,Science and Engineering Ethics,2
2025,Journal of Anesthesia,2
2025,"Responsible and Resilient Design for Society, Volume 9",2
2025,Adaptive Intelligence,2
2025,European Journal of Futures Research,2
2025,Frontiers of Urban and Rural Planning,2
2025,Discourses of Globalisation and Citizenship Education,2
2025,Strahlentherapie und Onkologie,2
2025,Journal of Organization Design,2
2025,BMC Medical Informatics and Decision Making,2
2025,Social Robots in Education,2
2025,AI Perspectives & Advances,2
2025,Social Computing and Social Media,2
2025,Entertainment Computing – ICEC 2024,2
2025,Theoretical Medicine and Bioethics,2
2025,Studies in Computational Intelligence,2
2025,Understanding the Digital and AI Transformation,2
2025,Journal of Ambient Intelligence and Humanized Computing,2
2025,European Radiology,2
2025,Trends in Psychology,2
2025,ZDM – Mathematics Education,2
2025,The Future of Design Education,2
2025,IEA International Computer and Information Literacy Study 2023,2
2025,Early Childhood Education Journal,2
2025,Advances in Continuous and Discrete Models,2
2025,Robotics in Education,2
2025,End-User Development,2
2025,Connecting Science Education with Cultural Heritage,2
2025,Journal for STEM Education Research,2
2025,Psychopathology,2
2025,Studies in Philosophy and Education,2
2025,The Digital Edge: Transforming Business Systems for Strategic Success,2
2025,Surgical and Experimental Pathology,2
2025,"Sustainable Development through Machine Learning, AI and IoT",2
2025,Cognitive Processing,2
2025,Entrepreneurship Education,2
2025,Navigating Complexity,2
2025,Journal of Innovation and Entrepreneurship,2
2025,Mathematics and the Built Environment,2
2025,Nexus Network Journal,2
2025,Health Research Policy and Systems,2
2025,Computer Supported Cooperative Work (CSCW),2
2025,Mathematical Thinking and Properties in Architecture,2
2025,Nature Mental Health,2
2025,Human Arenas,2
2025,Communications Biology,2
2025,New Kind of Machine Learning–Cellular Automata Model,2
2025,Translational Psychiatry,2
2025,The Dusk of Design,2
2025,Research Involvement and Engagement,2
2025,Artificial Intelligence Research,2
2025,Perspectives on Engineering Uncertainty,2
2025,MRS Advances,2
2025,"Advances in Smart Vehicular Technology, Transportation, Communication and Applications",2
2025,Introduction to CRISPR-Cas9 Techniques,2
2025,Theory of Computation,2
2025,Autonomous Agents and Multi-Agent Systems,2
2025,Rendiconti Lincei. Scienze Fisiche e Naturali,2
2025,Innovations in Mechanical Engineering IV,2
2025,Contemporary Political Theory,2
2025,Social Network Analysis and Mining,2
2025,Intelligent Sustainable Systems,2
2025,Introduction to the Ethics of Emerging Technologies,2
2025,Proceedings of Third International Conference on Computing and Communication Networks,2
2025,School of Architecture(s) - New Frontiers of Architectural Education,2
2025,Innovating and Integrating Emerging Technologies,2
2025,"Advances in Cancer Detection, Prediction, and Prognosis Using Artificial Intelligence and Machine Learning",2
2025,Video Annotation for Dance and Performance,2
2025,Social Robotics,2
2025,Information Technology and Systems,2
2025,Quantum Level Business Model: A New Managerial Perspective,2
2025,Supply Management Research,2
2025,Advanced Network Technologies and Computational Intelligence,2
2025,Individuals and Non-Individuals in Quantum Theory,2
2025,Proceedings of Fifth Doctoral Symposium on Computational Intelligence,2
2025,Bridging the Gap Between AI and Reality,2
2025,"Multidimensional Signals Processing, AI Methods and Applications",2
2025,Asian Journal of Civil Engineering,2
2025,Computational Intelligence Techniques for 5G Enabled IoT Networks,2
2025,Twenty-first Century Drug Discovery,2
2025,Advances in Information Communication Technology and Computing,2
2025,Digital Experiences in Mathematics Education,2
2025,Handbook of Chinese Language Learning and Technology,2
2025,Proceedings of 8th ASRES International Conference on Intelligent Technologies,2
2025,Proceedings of Third International Conference on Intelligent System,2
2025,Geographic Approaches to Climate Change and Mitigation: Urban and Rural Perspectives (Volume 2),2
2025,"Canadian Journal of Science, Mathematics and Technology Education",2
2025,Journal of Mathematics Teacher Education,2
2025,The Semantic Web: ESWC 2024 Satellite Events,2
2025,European Journal of Pediatrics,2
2025,ERA Forum,2
2025,Earth Science Informatics,2
2025,Universal Access in the Information Society,2
2025,Human Resource Management in a Disrupted World,2
2025,Computational Virology,2
2025,Risks and Opportunities in Using Educational Technologies,2
2025,The Australian Educational Researcher,2
2025,BMC Research Notes,2
2025,WMU Journal of Maritime Affairs,2
2025,Journal of the Knowledge Economy,2
2025,The 22nd International Conference on Information Technology-New Generations (ITNG 2025),2
2025,Nature Microbiology,2
2025,Tomorrow's Data Empowered Project Management,2
2025,Trials,2
2025,Recent Trends of AI Technologies and Virtual Reality,2
2025,European Journal on Criminal Policy and Research,2
2025,European Spine Journal,2
2025,Hybrid Artificial Intelligent Systems,2
2025,Mathematical Geosciences,2
2025,ICT: Applications and Social Interfaces,2
2025,Nature Computational Science,2
2025,Studies on Russian Economic Development,2
2025,Asia Pacific Journal of Management,2
2025,La Rivista del Nuovo Cimento,2
2025,European Journal of Nuclear Medicine and Molecular Imaging,2
2025,European Journal of Human Genetics,2
2025,International Entrepreneurship and Management Journal,2
2025,Sustainable Infrastructures,2
2025,Boosting Software Development Using Machine Learning,2
2025,Journal of Bioethical Inquiry,2
2025,"Social, Ethical and Legal Aspects of Generative AI",2
2025,"Proceedings of the 1st International Conference on Creativity, Technology, and Sustainability",2
2025,The Journal of Supercomputing,2
2025,Innovative Intelligent Industrial Production and Logistics,2
2025,Digital Economy. Emerging Technologies and Business Innovation,2
2025,Information Systems Engineering and Management,2
2025,MUSCULOSKELETAL SURGERY,2
2025,Driving Green Transportation System Through Artificial Intelligence and Automation,2
2025,Deep Learning in Ad-Hoc Wireless Networks,2
2025,Nature Reviews Bioengineering,2
2025,Marketing and Smart Technologies,2
2025,Automotive Innovation,2
2025,Measurement Techniques,2
2025,Applied Cognitive Computing and Artificial Intelligence,2
2025,Nature Reviews Psychology,2
2025,Artificial Intelligence,2
2025,Games and Learning Alliance,2
2025,Frontiers of Chemical Science and Engineering,2
2025,Journal of General Internal Medicine,2
2025,Journal of Patient-Reported Outcomes,2
2025,"Studies in Systems, Decision and Control",2
2025,Physics of Particles and Nuclei Letters,2
2025,Journal of The Institution of Engineers (India): Series B,2
2025,Annals of Data Science,2
2025,Flight Safety Management,2
2025,Zeitschrift für Arbeitswissenschaft,2
2025,Journal of Business Ethics,2
2025,Journal of Molecular Modeling,2
2025,Cartography,2
2025,MRS Communications,2
2025,Nature Reviews Electrical Engineering,2
2025,Cognition and Exploratory Learning in the Digital Age,2
2025,Creations,2
2025,AI Governance Handbook,2
2025,Environmental Chemistry Letters,2
2025,Global Philosophy,2
2025,Pharmaceutical Medicine,2
2025,Topoi,2
2025,Light: Science & Applications,2
2025,Cybernetics and Systems Analysis,2
2025,Human Centred Intelligent Systems,2
2025,"Signal and Information Processing, Networking and Computers",2
2025,Proceedings of Sixth International Conference on Computer and Communication Technologies,2
2025,npj Imaging,2
2025,Intelligent and Fuzzy Systems,2
2025,"The Political Economy of Contemporary Human Civilisation, Volume I",2
2025,KI - Künstliche Intelligenz,2
2025,Experimental & Molecular Medicine,2
2025,Discover Pharmaceutical Sciences,2
2025,Nature Reviews Cardiology,2
2025,Cancer Cell International,2
2025,Dermatology and Therapy,2
2025,The Political Economy of Long-term Planning,2
2025,"Machine Learning, Optimization, and Data Science",2
2025,npj Antimicrobials and Resistance,2
2025,The 18th International Conference Interdisciplinarity in Engineering,2
2025,Neural Processing Letters,2
2025,Holistic Integrative Oncology,2
2025,npj Drug Discovery,2
2025,Nature Human Behaviour,2
2025,New Players in Mobility,2
2025,Proceedings of 5th International Ethical Hacking Conference,2
2025,Human-Intelligent Systems Integration,2
2025,"Radiation Oncology – Principles, Precepts and Practice",2
2025,International Journal of Data Science and Analytics,2
2025,EAI/Springer Innovations in Communication and Computing,2
2025,Discover Global Society,2
2025,European Journal of Plastic Surgery,2
2025,Current Atherosclerosis Reports,2
2025,Journal of Neuro-Oncology,2
2025,The Dark Side of Marketing,2
2025,The Risk of Artificial Intelligence in Credit Ratings,2
2025,Artificial Intelligence in Government,2
2025,Annals of Surgical Oncology,2
2025,DET-2024: International Conference on Distance Education Technologies,2
2025,Current Food Science and Technology Reports,2
2025,Physical and Engineering Sciences in Medicine,2
2025,CardioVascular and Interventional Radiology,2
2025,Medical Ethics,2
2025,"Artificial Intelligence, Sustainable Technologies, and Business Innovation: Opportunities and Challenges of Digital Transformation",2
2025,Digital Technology Platforms and Deployment,2
2025,EcoHealth,2
2025,Journal of Echocardiography,2
2025,"Visual Computing for Industry, Biomedicine, and Art",2
2025,Navigating the Online Networks of Young Creators,2
2025,MRS Bulletin,2
2025,Deploying Artificial Intelligence to Achieve the UN Sustainable Development Goals,2
2025,Journal of Materials Engineering and Performance,2
2025,Automatic Control and Computer Sciences,2
2025,Archives of Sexual Behavior,2
2025,Next-Generation Computational Intelligence: Trends and Technologies,2
2025,A Practical Guide to Generative AI Using Amazon Bedrock,2
2025,Health Care Management Science,2
2025,Review of Managerial Science,2
2025,KN - Journal of Cartography and Geographic Information,2
2025,Handbook of Innovation,2
2025,Cognitive Computation,2
2025,Biomarker Research,2
2025,Artificial Intelligence and Soft Computing,2
2025,Rheumatology International,2
2025,Geotechnical and Geological Engineering,2
2025,Best Practices in Online Education,2
2025,Information and Communication Technologies in Tourism 2025,2
2025,"Multiscale and Multidisciplinary Modeling, Experiments and Design",2
2025,Discover Electrochemistry,2
2025,Journal of Materials Science,2
2025,BMC Ophthalmology,2
2025,Informatik Spektrum,2
2025,Journal of Translational Medicine,2
2025,Nature Biomedical Engineering,2
2025,The Palgrave Encyclopedia of Disability,2
2025,Artificial Intelligence-Aided Design for Sustainability,2
2025,IoT and Big Data Technologies for Health Care,2
2025,Nutrire,2
2025,"Critical Thinking Across Disciplines, Vol. 2",2
2025,Theory and Society,2
2025,Communications Earth & Environment,2
2025,Formal Methods in Architecture,2
2025,Bratislava Medical Journal,1
2025,Communications Medicine,1
2025,Journal of Religion and Health,1
2025,"Methodologies and Intelligent Systems for Technology Enhanced Learning, 15th International Conference",1
2025,Advanced Technologies and the University of the Future,1
2025,Journal of Cancer Education,1
2025,BDJ Open,1
2025,Disciplinary and Interdisciplinary Science Education Research,1
2025,Digital Education and Learning,1
2025,PROSPECTS,1
2025,"Leveraging Emerging Technologies and Analytics for Empowering Humanity, Vol. 2",1
2025,Intelligence-Driven Circular Economy,1
2025,Lecture Notes in Educational Technology,1
2025,The Political Economy of Robots,1
2025,Clinical Oral Investigations,1
2025,International Journal of Emergency Medicine,1
2025,Signals and Communication Technology,1
2025,Breast Cancer Research and Treatment,1
2025,Artificial Creativity,1
2025,Communications in Computer and Information Science,1
2025,"International Conference on Innovation, Sustainability, and Applied Sciences",1
2025,"Education, Equity, Economy",1
2025,15th International Scientific Conference on Distance Learning in Applied Informatics,1
2025,Egyptian Journal of Radiology and Nuclear Medicine,1
2025,"Design, Learning, and Innovation",1
2025,Big Data in Finance: Transforming the Financial Landscape,1
2025,Mathematics in Mind,1
2025,Voicing Responsible AI Pedagogy for Music and Visual Arts Education,1
2025,Journal of Medical Imaging and Interventional Radiology,1
2025,Blockchain and Machine Learning Innovations,1
2025,Agents and Artificial Intelligence,1
2025,Digital Transformation in Interdisciplinary Sciences,1
2025,The Cyber-Creativity Process,1
2025,Advances in Artificial Intelligence – IBERAMIA 2024,1
2025,Perspectives on Behavior Science,1
2025,Applied Innovations in Information and Communication Technology,1
2025,Emotional Data Applications and Regulation of Artificial Intelligence in Society,1
2025,Journal of Computer Science and Technology,1
2025,Innovative Higher Education,1
2025,Artificial Intelligence and the Future of Human Relations,1
2025,Innovative Computing and Communications,1
2025,Digital Management and Artificial Intelligence,1
2025,Reliability and Statistics in Transportation and Communication: Human Sustainability and Resilience in the Digital Age,1
2025,Innovation in Language Learning and Teaching,1
2025,Machine Learning and Principles and Practice of Knowledge Discovery in Databases,1
2025,Leading Smart Education,1
2025,Proceedings of International Conference on Information Technology and Applications,1
2025,Technology for Societal Transformation,1
2025,Advances in Information and Communication,1
2025,AI Ethics in Practice,1
2025,Advances in ICT Research in the Balkans,1
2025,"Intersection of Artificial Intelligence, Data Science, and Cutting-Edge Technologies: From Concepts to Applications in Smart Environment",1
2025,Intelligent Computing,1
2025,International Conference on Advanced Intelligent Systems for Sustainable Developent (AI2SD 2024),1
2025,Philosophical Studies,1
2025,2024 Yearbook Emerging Technologies in Learning,1
2025,Russian Engineering Research,1
2025,Dynamics of Translation Studies / Potenziale der Translationswissenschaft,1
2025,Advances in Artificial Intelligence in Education,1
2025,Human-Technology Interaction,1
2025,Intelligent Systems,1
2025,"The Egyptian Journal of Neurology, Psychiatry and Neurosurgery",1
2025,Revolution with Generative AI: Trends and Techniques,1
2025,Big Data – BigData 2025,1
2025,AI and IoT: Driving Business Success and sustainability in the Digital Age,1
2025,"ArtsIT, Interactivity and Game Creation",1
2025,Chinese Language Learning Sciences,1
2025,Transportation,1
2025,La radiologia medica,1
2025,Research in Chinese Education,1
2025,Adversarial Deep Generative Techniques for Early Diagnosis of Neurological Conditions and Mental Health Practises,1
2025,Biophysical Reviews,1
2025,Human Aspects of IT for the Aged Population,1
2025,Modern Practices and Trends in Expert Applications and Security,1
2025,Generative Artificial Intelligence and Fifth Industrial Revolution,1
2025,Journal of Technology in Behavioral Science,1
2025,Abdominal Radiology,1
2025,Japanese Journal of Radiology,1
2025,Discover Agriculture,1
2025,Human-Centric Intelligent Systems,1
2025,Artificial Intelligence for Design and Process Science,1
2025,AI-Assisted Assessment in Education,1
2025,Fudan Journal of the Humanities and Social Sciences,1
2025,Health Economics Review,1
2025,Current Anesthesiology Reports,1
2025,"Journal of Anesthesia, Analgesia and Critical Care",1
2025,Human-Centered AI: An Illustrated Scientific Quest,1
2025,Institutional guide to using AI for research,1
2025,Smart Computing Paradigms: Advanced Data Mining and Analytics,1
2025,Learning Technology for Education Challenges,1
2025,Acta Neurochirurgica,1
2025,BioNanoScience,1
2025,Cross-Cultural Design,1
2025,Unlocking Sustainable Wellbeing in the Digital Age,1
2025,Responsible AI in Practice,1
2025,Global Public Policy and Governance,1
2025,Artificial Life and Evolutionary Computation,1
2025,PharmacoEconomics - Open,1
2025,"Exploring Education Policy in a Globalized World: Concepts, Contexts, and Practices",1
2025,Artificial Intelligence over Infrared Images for Medical Applications,1
2025,"Artificial Intelligence, Pedagogy and Academic Integrity",1
2025,"Distributed Computing and Artificial Intelligence, 21st International Conference",1
2025,Nature Sustainability,1
2025,Herman Hollerith Conference 2024,1
2025,Urban Informatics,1
2025,Multivariate Analysis and Machine Learning Techniques,1
2025,Journal of International Entrepreneurship,1
2025,Current Cardiovascular Imaging Reports,1
2025,Using AI in Academic Writing and Research,1
2025,3 Biotech,1
2025,npj Soft Matter,1
2025,Data-centric Approaches to Industrial Decisions,1
2025,Proceedings of the 19th Latin American Conference on Learning Technologies (LACLO 2024),1
2025,Proceedings of the 3rd Vietnam Symposium on Advances in Offshore Engineering,1
2025,Artificial Intelligence in Surgery,1
2025,Food Engineering Reviews,1
2025,HCI International 2024 – Late Breaking Papers,1
2025,"Environment, Development and Sustainability",1
2025,Scientific and Technical Information Processing,1
2025,Clinical Rheumatology,1
2025,Advanced Topics in Electric Circuits,1
2025,Artificial Intelligence for Oral Health Care,1
2025,Nature Reviews Rheumatology,1
2025,Progress in Artificial Intelligence,1
2025,Smart Solutions for a Sustainable Future,1
2025,Journal of Clinical Psychology in Medical Settings,1
2025,AI Innovation in Real Estate,1
2025,Discover Cities,1
2025,International Journal of Speech Technology,1
2025,Generative AI with SAP and Amazon Bedrock,1
2025,5th International Conference for Innovation in Biomedical Engineering and Life Sciences,1
2025,Anesthesiology and Perioperative Science,1
2025,Quantum Computing and Quantum Machine Learning for Engineers and Developers,1
2025,International Journal of Machine Learning and Cybernetics,1
2025,Neural Computing and Applications,1
2025,Bio-Design and Manufacturing,1
2025,Italian Journal of Marketing,1
2025,EURASIP Journal on Information Security,1
2025,International Journal of Precision Engineering and Manufacturing-Green Technology,1
2025,Networks and Sustainability,1
2025,Global Journal of Flexible Systems Management,1
2025,neuropsychiatrie,1
2025,Biological Invasions,1
2025,The Science of Nature,1
2025,Electrochemical Energy Reviews,1
2025,"Virtual, Augmented and Mixed Reality",1
2025,Clinical and Translational Oncology,1
2025,Nature Reviews Urology,1
2025,Discover Chemical Engineering,1
2025,Nature Climate Change,1
2025,Automated Software Engineering,1
2025,The International Journal of Advanced Manufacturing Technology,1
2025,European Journal of Medical Research,1
2025,Clinical Child and Family Psychology Review,1
2025,Knee Surgery & Related Research,1
2025,Rethinking Retail,1
2025,AMS Review,1
2025,JMST Advances,1
2025,"Service Oriented, Holonic and Multi-agent Manufacturing Systems for Industry of the Future",1
2025,Asian-Pacific Journal of Second and Foreign Language Education,1
2025,Systems Engineering & Management,1
2025,"Cognition, Technology & Work",1
2025,International Journal of Computational Intelligence Systems,1
2025,Adaptive Instructional Systems,1
2025,Journal of Fluorescence,1
2025,E-Learning and Enhancing Soft Skills,1
2025,Cognitive Therapy and Research,1
2026,Two Decades of TEL. From Lessons Learnt to Challenges Ahead,14
2026,Innovative Technologies and Learning,10
2026,Ethical and Social Impacts of Information and Communication Technology,9
2026,Lecture Notes in Networks and Systems,5
2026,Smart Trends in Computing and Communications,4
2026,"Informatics in Schools. Fostering Problem-Solving, Creativity, and Critical Thinking Through Computer Science Education",4
2026,Lecture Notes in Computer Science,4
2026,Artificial Media,3
2026,Extended Reality,3
